Date,Jumlah
2019-01-01,7370689
2019-02-01,3397447
2019-03-01,6166799
2019-04-01,5021927
2019-05-01,6577537
2019-06-01,9120727
2019-07-01,4493144
2019-08-01,7666096
2019-09-01,7960768
2019-10-01,9665026
2019-11-01,9788588
2019-12-01,8254457
2020-01-01,11480621
2020-02-01,10963390
2020-03-01,9901042
2020-04-01,6570521
2020-05-01,7672138
2020-06-01,9184613
2020-07-01,11452136
2020-08-01,11299515
2020-09-01,12304681
2020-10-01,11175527
2020-11-01,11164569
2020-12-01,13932909
2021-01-01,12801904
2021-02-01,12582632
2021-03-01,12511219
2021-04-01,11833348
2021-05-01,13144701
2021-06-01,14179950
2021-07-01,9773674
2021-08-01,9608471
2021-09-01,12421768
2021-10-01,15355312
2021-11-01,15619037
2021-12-01,19245908
2022-01-01,19124849
2022-02-01,19184354
2022-03-01,27190607
2022-04-01,12078225
2022-05-01,19934247
2022-06-01,14691026
2022-07-01,16068542
2022-08-01,13235419
2022-09-01,12461460
2022-10-01,15437648
2022-11-01,14709379
2022-12-01,16432381
2023-01-01,19451002
2023-02-01,17436510
2023-03-01,17708068
2023-04-01,19450106
2023-05-01,22309466
2023-06-01,20347494
2023-07-01,17427521
2023-08-01,13539565
2023-09-01,12654730
2023-10-01,13820919
2023-11-01,12965607
2023-12-01,19993585
2024-01-01,18995177
2024-02-01,18581675
2024-03-01,16845753
2024-04-01,25059729
2024-05-01,18654895
2024-06-01,19889602
2024-07-01,17652253
2024-08-01,14587397
2024-09-01,15450635
2024-10-01,16365062
